listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Guest suite in Victoria,Parkside Guest Suite on Gorge Waterway,1 queen bed,www.airbnb.ca/rooms/18159434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692670502_MBTO1DwVAYHwfW8b&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,132,662,2023-09-18 - 2023-09-23,4.94,154,2023-09-18,2023-09-23,0,0,0,0,0
Cottage in Victoria,Ocean Front Retreat with Stunning Water Views,1 queen bed,www.airbnb.ca/rooms/45330073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-05&source_impression_id=p3_1692670502_VL3%2F6diTSsLxq4SN&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,251,"1,254",2023-09-30 - 2023-10-05,4.95,166,2023-09-30,2023-10-05,0,0,0,0,0
Condo in Downtown Victoria,The Penthouse at the Vogue  Free Parking,2 beds,www.airbnb.ca/rooms/34910809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-11-10&source_impression_id=p3_1692670502_Z%2B5uw9w2MQtwL47W&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,189,944,2023-11-05 - 2023-11-10,4.81,253,2023-11-05,2023-11-10,0,0,0,0,0
Condo in Downtown Victoria,Beautifully Restored Hotel - Central Downtown Vic,1 queen bed,www.airbnb.ca/rooms/52657330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692670502_gbdwWDTSSSV3Fbn%2F&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,269,269,2023-09-09 - 2023-09-14,4.87,105,2023-09-09,2023-09-14,0,0,0,0,0
Condo in Downtown Victoria,"Rare-Downtown Waterfront,Parking Balcony&Views🐋🐚",2 beds,www.airbnb.ca/rooms/49569037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1692670502_1NCGrEpAZUd9TI5X&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,229,"1,147",2023-11-04 - 2023-11-9,4.98,195,2023-11-04,2023-11-09,0,0,0,0,0
Condo in Downtown Victoria,Modern Top Floor 1 BR Condo in Historic Old Town,2 beds,www.airbnb.ca/rooms/31741888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692670502_NBblqT0ZGNOjWn70&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,156,779,2023-10-22 - 2023-10-27,4.82,303,2023-10-22,2023-10-27,0,0,0,0,0
Guest suite in Gordon Head,Deluxe Oceanfront Getaway,1 king bed,www.airbnb.ca/rooms/657978186038512659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692670502_gwbwXuAryx0MGSQ4&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,407,407,2023-09-03 - 2023-09-8,4.93,45,2023-09-03,2023-09-08,0,0,0,0,0
Condo in Downtown Victoria,Modern Studio,1 queen bed,www.airbnb.ca/rooms/42472926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692670502_p1TjUbDraDI%2BspsU&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,221,221,2023-09-10 - 2023-09-15,4.89,360,2023-09-10,2023-09-15,0,0,0,0,0
Guest suite in Victoria,Cozy 1BR suite near Mayfair and Uptown Malls,1 queen bed,www.airbnb.ca/rooms/31196160?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1692670502_v7YbsNkL%2FKIEhX%2F6&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,144,721,2023-09-20 - 2023-09-25,4.91,115,2023-09-20,2023-09-25,0,0,0,0,0
Condo in Downtown Victoria,Victoria heart,2 beds,www.airbnb.ca/rooms/582654744641336801?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692670502_ewfYkGyk0HSJqTfW&previous_page_section_name=1000&federated_search_id=bae0b8bb-12a6-4856-a47b-7d66afe43245,157,157,2023-10-30 - 2023-11-04,4.91,80,2023-10-30,2023-11-04,0,0,0,0,0
