listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date
Home in Iqaluit,VIOLET,3 beds,www.airbnb.ca/rooms/22505342?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692675724_c58VnFzB6mV4mqgD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,290,"1,449",2023-09-04 - 2023-09-9,4.89,63.0,2023-09-04,2023-09-9
Room in Iqaluit,Nursing Station - West Wing,Stay with Rannva,www.airbnb.ca/rooms/33015928?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=886485259&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_g0DIjqoCUaCvCtgC&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,165,827,2023-09-01 - 2023-09-6,5.0,17.0,2023-09-01,2023-09-6
Apartment in Iqaluit,Iqaluit Suites #4,16 beds,www.airbnb.ca/rooms/554422838842049532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675724_QdyFRvXUBbC1kkWH&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,601,"3,003",2023-09-01 - 2023-09-6,5.0,8.0,2023-09-01,2023-09-6
Room in Iqaluit,house 446,Stay with Torsten,www.airbnb.ca/rooms/42739832?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=981950172&check_in=2023-09-17&check_out=2023-09-24&source_impression_id=p3_1692675724_AA4gFFUmVMtR%2BHKN&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,175,175,2023-09-17 - 2023-09-24,4.94,32.0,2023-09-17,2023-09-24
Apartment in Iqaluit,Iqaluit Suites #1,6 beds,www.airbnb.ca/rooms/28739855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692675724_xsUFUzTkkTzOgIMh&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,294,"1,470",2023-09-03 - 2023-09-8,4.81,47.0,2023-09-03,2023-09-8
Guest suite in Iqaluit,Your Iqaluit home!,1 bed,www.airbnb.ca/rooms/39700447?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-10-01&source_impression_id=p3_1692675724_owmsCempcZew0%2FKR&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,214,"1,286",2023-09-25 - 2023-10-01,4.98,41.0,2023-09-25,2023-10-01
Room in Iqaluit,The Sand Room,Stay with Gildas,www.airbnb.ca/rooms/41811766?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=957039771&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1692675724_j1emF0wwQp%2BdXkd9&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,149,744,2023-09-12 - 2023-09-17,4.76,25.0,2023-09-12,2023-09-17
Boutique hotel in Iqaluit,Stay By The Sea | Room 1,2 queen beds,www.airbnb.ca/rooms/644745241141520336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692675724_LatJk1ZNPCOY2WmD&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,421,421,2023-09-23 - 2023-09-28,4.92,13.0,2023-09-23,2023-09-28
Room in Iqaluit,Iqaluit Tisi: Tranquil Retreat,Stay with François,www.airbnb.ca/rooms/915919523658675673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677448728&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692675724_j4i5DiLwdjIH9Vtp&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,179,894,2023-09-18 - 2023-09-23,,,2023-09-18,2023-09-23
Room in Iqaluit,Awesome Room with View,Stay with Beata,www.airbnb.ca/rooms/562365298811266356?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1401264834&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692675724_q5iMsJbD%2BEoxK8HK&previous_page_section_name=1000&federated_search_id=d61986c3-6b2b-4004-83de-7654b050bada,228,"1,141",2023-09-11 - 2023-09-16,5.0,17.0,2023-09-11,2023-09-16
