listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Guest suite in Yellowknife,Stay YK : Downtown 2 BR Suite w/ Private Entrance,3 beds,4.92 (26),www.airbnb.ca/rooms/768792216147817461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692676341_bOk4qwTusfpSjKTF&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 18 – 23,207,207
Apartment in Yellowknife,See Aurora and lake from EVERY room! (2bd 2bth),2 queen beds,4.96 (71),www.airbnb.ca/rooms/36638245?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1692676340_n1lC0GlooYeqa3u5&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 2 – 7,364,"1,820"
Home in Yellowknife,Scandinavian Retreat on the Lake,3 beds,5.0 (9),www.airbnb.ca/rooms/10256685?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676340_iOXMMrf6A%2FGbdRZD&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 1 – 6,437,"2,186"
Guest suite in Yellowknife,Waterfront Nordic Getaway - Licensed B&B,2 beds,4.99 (90),www.airbnb.ca/rooms/38981535?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_EV6AmJfANm0EjNu3&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 1 – 6,309,"1,546"
Guest suite in Yellowknife,Rockside Suite - Private suite on Niven Lake,2 beds,4.94 (33),www.airbnb.ca/rooms/723186752359818729?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_pifWJgKAJ2%2BbPJMP&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 1 – 6,173,863
Tiny homes in Yellowknife,Newly Built Arctic Tiny House,1 bed,4.43 (7),www.airbnb.ca/rooms/818348490422331947?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_kQ2Vy083mk1kOfYE&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 1 – 6,106,532
Apartment in Yellowknife,The Good Place - Private Apartment in Niven Area,2 beds,4.96 (134),www.airbnb.ca/rooms/37420008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692676341_mGsfPrviz8nCMpV2&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Oct. 22 – 27,156,780
Home in Yellowknife,Niven Lake Apartment. Discounted Extended Stays.,2 beds,4.95 (42),www.airbnb.ca/rooms/51074006?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_VfQjVeIOK6%2BzabIt&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 1 – 6,189,947
Home in Yellowknife,Greenhaven Guesthouse - Sleeps 6- Open during Evac,4 beds,4.93 (72),www.airbnb.ca/rooms/17071515?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_jTK%2BnvgHmCPXZ%2Fgu&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Sep. 1 – 6,378,"1,893"
Home in Yellowknife,Docked Houseboat (rare waterfront in popular area),4 beds,4.99 (74),www.airbnb.ca/rooms/39005044?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-06&check_out=2023-10-11&source_impression_id=p3_1692676341_B48HNHdXCqr0BHry&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,Oct. 6 – 11,431,"2,157"
